61,"architectuur aardewerk; architectuur, Architectural Terracottas in the Allard Pierson Museum, Patricia S.Lulof, AP Series, Amsterdam 2007, cat.28 (10180,004) p.27, fig.7h-i, pl.7c., vorm reliëf, xxx"
62,"architectuur aardewerk; architectuur, Architectural Terracottas in the Allard Pierson Museum, Patricia S.Lulof, AP Series, Amsterdam 2007,cat.35 (10180,003) p35, fig.1d-e, pl.10f., vorm reliëf, xxx"
63,"architectuur aardewerk; architectuur, Architectural Terracottas in the Allard Pierson Museum, Patricia S.Lulof, AP Series, Amsterdam 2007, cat.34 (APM 10180,002) p35, fig.11b-c, pl.10e;, vorm reliëf, xxx"
64,"kist gips; gebruiksvoorwerp, 1900, vorm, xxx"
65,"vrouw gips; menselijke figuur, 1900, gegoten, xxx"
66,"lamp aardewerk; verlichting, 1900, vorm, xxx"
67,"lamp aardewerk; verlichting, 1900, vorm, xxx"
68,"lamp aardewerk; verlichting, 1900, vorm, xxx"
69,"lamp aardewerk; verlichting, 1900, vorm, xxx"
70,"lamp aardewerk; verlichting, 1900, vorm, xxx"
71,"lamp aardewerk; verlichting, 1900, vorm, xxx"
72,"lamp aardewerk; verlichting, 1900, vorm, xxx"
73,"lamp aardewerk; verlichting, 1900, vorm, xxx"
74,"schaal gips; vaatwerk, 1900, gegoten, xxx"
75,"beker gips; vaatwerk, 1900, gegoten, xxx"
76,"beker gips; vaatwerk, 1900, gegoten, xxx"
77,"beker gips; vaatwerk, 1900, gegoten, xxx"
78,"beker gips; vaatwerk, 1900, gegoten, xxx"
79,"Romein gips; buste, 1900, gegoten, xxx"
80,"ruiter gips; reliëf, 1900, gegoten, xxx"
81,"wolvin metaal; dierfiguur, 1900, gegoten, xxx"
82,"Stervende Galliër metaal: mensfiguur, 1900, gegoten, xxx"
83,"worstelaar metaal: mensfiguur, 1900, gegoten, xxx"
84,"schild metaal: wapen, reliëf mensfiguren, 1900, met vorm, xxx"
85,"Narcissus metaal: mensfiguur, mythe, 1900, gegoten, xxx"
86,"Pelgrimsfles gips: vaatwerk, reliëf, 1900, uit vorm, xxx"
87,"faun metaal: mensfiguur, mythe, 1900, gegoten, xxx"
88,"faun metaal: groep, mensfiguur, mythe, 1900, gegoten, xxx"
89,"Epona gips: reliëf mensfiguur, dierfiguur, 1900, uit vorm, xxx"
90,"Mithras gips: reliëf mensfiguur, dierfiguur, 1900, uit vorm, xxx"
91,"Attis gips: mensfiguur, mythe, 1900, uit vorm, xxx"
92,"Kybele gips: mensfiguur, mythe, 1900, uit vorm, xxx"
93,"Diana aardewerk: mensfiguur, mythe, 1900, uit vorm, xxx"
94,"Athena metaal: vaatwerk, 1900, uit vorm, xxx"
95,"Venus metaal: mensfiguur, 1900, gegoten, xxx"
96,"Hermes metaal: mensfiguur, 1900, gegoten, xxx"
97,"Hermes gips: buste, mensfiguur, 1900, sculptuur, xxx"
98,"Homerus gips: buste, mensfiguur, 1900, uit vorm, xxx"
99,"alabastron aardewerk: vaatwerk, 1900, kleimateriaal, xxx"
100,"Osiris steen aardewerk; vaatwerk reliëf, Bewegende beelden, 1900, handgevormd op wiel gedraaid geblazen geboord, xxx"
101,"amfoor aardewerk: vaatwerk, 1900, uit vorm?, xxx"
102,"schaaltje aardewerk: vaatwerk, 500-200 voor Christus, op de schijf gedraaid, xxx"
103,"Genucilia schaaltje aardewerk: vaatwerk, 500-200 voor Christus, op de schijf gedraaid, xxx"
104,"Genucilia schaaltje aardewerk: vaatwerk, 500-200 voor Christus, op de schijf gedraaid, xxx"
105,"gewicht aardewerk: gebruiksvoorwerp, uit vorm, xxx"
106,"ruiter aardewerk: mensfiguur, dierfiguur, Archaïsch, handgevormd en uit vorm, xxx"
107,"masker aardewerk: mensfiguur, 4de eeuw voor Christus, uit vorm, xxx"
108,"Cybele aardewerk: terracotta, mensfiguur, 5de eeuw voor Christus, uit vormen, xxx"
109,"Osiris steen aardewerk metaal; vaatwerk reliëf menselijke figuur, 500-200 voor Christus, handgevormd op wiel gedraaid geblazen geboord, xxx"
110,"Cybele aardewerk: terracotta, mensfiguur, 5de-2de eeuw voor Christus, uit vormen, xxx"
111,"Cybele steen: sculptuur, mensfiguur, 4de-2de eeuw voor Christus, sculptuur, xxx"
112,"Cybele steen: sculptuur, mensfiguur, mythe, 4de-2de eeuw voor Christus, sculptuur, xxx"
113,"Cybele steen: sculptuur, mensfiguur, mythe, 4de eeuw voor Christus, sculptuur, xxx"
114,"lampje aardewerk: verlichting, 0050, uit vorm, xxx"
115,"lampje aardewerk: verlichting, 0050, uit vorm, xxx"
116,"lampje aardewerk: verlichting, 0050, uit vorm, xxx"
117,"lampje aardewerk: verlichting, 0050, uit vorm, xxx"
118,"lampje aardewerk: verlichting, 0050, uit vorm, xxx"
119,"lampje aardewerk: verlichting, 0050, uit vorm, xxx"
120,"lampje aardewerk: verlichting, 0050, uit vorm, xxx"
121,"lampje aardewerk: verlichting, 0050, uit vorm, xxx"
122,"lampje aardewerk: verlichting, 0050, uit vorm, xxx"
123,"lampje aardewerk: verlichting, 0050, uit vorm, xxx"
124,"fragment vaatwerk aardewerk: vaatwerk, 0050, op de schijf gedraaid (vermoedelijk), xxx"
125,"Osiris steen aardewerk; vaatwerk reliëf, Bewegende beelden, 0050, handgevormd op wiel gedraaid geblazen geboord, xxx"
126,"fragment vaatwerk aardewerk: vaatwerk, 0050, op de schijf gedraaid (vermoedelijk), xxx"
127,"fragment vaatwerk aardewerk: vaatwerk, 0050, op de schijf gedraaid (vermoedelijk), xxx"
128,"fragment vaatwerk aardewerk: vaatwerk, 0050, op de schijf gedraaid (vermoedelijk), xxx"
129,"amfoor aardewerk: vaatwerk, 0050, deels op de schijf gedraaid, xxx"
130,"baksteen aardewerk: architectuur, 0050, uit vorm, xxx"
131,"paard aardewerk: terracotta, dierfiguur, 0050, uit vorm, xxx"
132,"Attis metaal: mensfiguur, mythe, 0050, gegoten, xxx"
133,"scarabee aardewerk: sieraad, amulet, 1900, uit vorm, xxx"
134,"Serapis metaal: sieraad, 0050, uit vorm, xxx"
135,"Serapis steen: sculptuur, mensfiguur, mythe, 0050, sculptuur, xxx"
136,"Osiris steen aardewerk; vaatwerk reliëf, Bewegende beelden, 0050, handgevormd op wiel gedraaid geblazen geboord, xxx"
137,"Attis aardewerk: terracotta, mensfiguur, mythe, 0001, uit vorm, xxx"
138,"Horus zonen aardewerk: 4x amulet, 2x kop, mensfiguur, Egypte Late Tijd, uit vorm, xxx"
139,"zittende vrouw aardewerk: mensfiguur, 6de eeuw voor Christus, vorm massief, xxx"
140,"paardentuig metaal; gebruiksvoorwerp, 8ste eeuw voor Christus, bronsmateriaal, xxx"
141,"paardentuig metaal; gebruiksvoorwerp, 8ste eeuw voor Christus, bronsmateriaal, xxx"
142,"paardentuig metaal; gebruiksvoorwerp, 8ste eeuw voor Christus, bronsmateriaal, xxx"
